split,threshold,fixed,harmed,switches
splitA_train42_44_val45_47,0.860006,0,3,15
splitA_train42_44_val45_47,0.844073,0,5,30
splitA_train42_44_val45_47,0.826899,0,6,45
splitA_train42_44_val45_47,0.810821,0,9,60
splitA_train42_44_val45_47,0.78795,0,12,75
splitA_train42_44_val45_47,0.769514,0,15,90
splitA_train42_44_val45_47,0.756537,0,18,105
splitA_train42_44_val45_47,0.740585,0,19,120
splitA_train42_44_val45_47,0.695875,0,26,135
splitA_train42_44_val45_47,0.651919,0,32,150
splitA_train42_44_val45_47,0.619944,1,38,165
splitA_train42_44_val45_47,0.591943,2,44,180
splitA_train42_44_val45_47,0.533296,3,52,195
splitA_train42_44_val45_47,0.489087,6,59,210
splitA_train42_44_val45_47,0.434358,6,71,225
splitA_train42_44_val45_47,0.324001,10,80,240
splitA_train42_44_val45_47,0.212686,12,89,255
splitA_train42_44_val45_47,0.144737,17,93,270
splitA_train42_44_val45_47,0.066956,21,95,285
splitA_train42_44_val45_47,0.001928,21,95,300
splitB_train45_47_val42_44,0.006818,11,91,300
splitB_train45_47_val42_44,0.034783,9,91,285
splitB_train45_47_val42_44,0.083364,9,91,270
splitB_train45_47_val42_44,0.24295,6,88,255
splitB_train45_47_val42_44,0.393153,4,80,240
splitB_train45_47_val42_44,0.490965,2,76,225
splitB_train45_47_val42_44,0.551885,2,69,210
splitB_train45_47_val42_44,0.583979,2,63,195
splitB_train45_47_val42_44,0.611573,2,54,180
splitB_train45_47_val42_44,0.638961,2,48,165
splitB_train45_47_val42_44,0.67153,2,41,150
splitB_train45_47_val42_44,0.686198,2,34,135
splitB_train45_47_val42_44,0.69542,2,25,120
splitB_train45_47_val42_44,0.712444,2,22,105
splitB_train45_47_val42_44,0.730505,2,18,90
splitB_train45_47_val42_44,0.745697,2,14,75
splitB_train45_47_val42_44,0.775689,2,10,60
splitB_train45_47_val42_44,0.790369,2,6,45
splitB_train45_47_val42_44,0.816662,2,6,30
splitB_train45_47_val42_44,0.845938,2,1,15
