split,method,threshold,fixed,harmed,switches
splitA_train42_44_val45_47,bce,0.860006,0,3,15
splitA_train42_44_val45_47,bce,0.844073,0,5,30
splitA_train42_44_val45_47,bce,0.826899,0,6,45
splitA_train42_44_val45_47,bce,0.810821,0,9,60
splitA_train42_44_val45_47,bce,0.78795,0,12,75
splitA_train42_44_val45_47,bce,0.769514,0,15,90
splitA_train42_44_val45_47,bce,0.756537,0,18,105
splitA_train42_44_val45_47,bce,0.740585,0,19,120
splitA_train42_44_val45_47,bce,0.695875,0,26,135
splitA_train42_44_val45_47,bce,0.651919,0,32,150
splitA_train42_44_val45_47,bce,0.619944,1,38,165
splitA_train42_44_val45_47,bce,0.591943,2,44,180
splitA_train42_44_val45_47,bce,0.533296,3,52,195
splitA_train42_44_val45_47,bce,0.489087,6,59,210
splitA_train42_44_val45_47,bce,0.434358,6,71,225
splitA_train42_44_val45_47,bce,0.324001,10,80,240
splitA_train42_44_val45_47,bce,0.212686,12,89,255
splitA_train42_44_val45_47,bce,0.144737,17,93,270
splitA_train42_44_val45_47,bce,0.066956,21,95,285
splitA_train42_44_val45_47,bce,0.001928,21,95,300
splitA_train42_44_val45_47,pairwise,1.770966,1,3,15
splitA_train42_44_val45_47,pairwise,1.53976,3,6,30
splitA_train42_44_val45_47,pairwise,1.416437,4,9,45
splitA_train42_44_val45_47,pairwise,1.274545,6,13,60
splitA_train42_44_val45_47,pairwise,1.141014,6,16,75
splitA_train42_44_val45_47,pairwise,1.073575,6,21,90
splitA_train42_44_val45_47,pairwise,0.994572,6,24,105
splitA_train42_44_val45_47,pairwise,0.908398,7,29,120
splitA_train42_44_val45_47,pairwise,0.854683,9,31,135
splitA_train42_44_val45_47,pairwise,0.781473,9,36,150
splitA_train42_44_val45_47,pairwise,0.720684,10,40,165
splitA_train42_44_val45_47,pairwise,0.633376,11,43,180
splitA_train42_44_val45_47,pairwise,0.503184,15,49,195
splitA_train42_44_val45_47,pairwise,0.417305,19,55,210
splitA_train42_44_val45_47,pairwise,0.314431,19,59,225
splitA_train42_44_val45_47,pairwise,0.157907,19,67,240
splitA_train42_44_val45_47,pairwise,0.028037,21,72,255
splitA_train42_44_val45_47,pairwise,-0.224529,21,78,270
splitA_train42_44_val45_47,pairwise,-0.484766,23,86,285
splitA_train42_44_val45_47,pairwise,-2.816589,23,93,300
splitA_train42_44_val45_47,listwise,0.704905,1,7,15
splitA_train42_44_val45_47,listwise,0.623061,2,10,30
splitA_train42_44_val45_47,listwise,0.500483,4,12,45
splitA_train42_44_val45_47,listwise,0.40849,4,13,60
splitA_train42_44_val45_47,listwise,0.347405,5,16,75
splitA_train42_44_val45_47,listwise,0.296165,5,21,90
splitA_train42_44_val45_47,listwise,0.232003,7,23,105
splitA_train42_44_val45_47,listwise,0.205819,9,27,120
splitA_train42_44_val45_47,listwise,0.154936,9,33,135
splitA_train42_44_val45_47,listwise,0.115435,9,40,150
splitA_train42_44_val45_47,listwise,0.073297,9,46,165
splitA_train42_44_val45_47,listwise,0.02308,10,53,180
splitA_train42_44_val45_47,listwise,-0.016515,10,57,195
splitA_train42_44_val45_47,listwise,-0.062686,10,67,210
splitA_train42_44_val45_47,listwise,-0.110709,11,72,225
splitA_train42_44_val45_47,listwise,-0.22987,14,78,240
splitA_train42_44_val45_47,listwise,-0.310611,15,83,255
