split,index_set,position,eval_index,bucket,raw_top1,residual_top1,raw_oracle,residual_oracle,delta_norm
splitA_train42_44_val45_47,medium20,0,201658,both_success,1,1,1,1,1.973203420639038
splitA_train42_44_val45_47,medium20,1,209212,both_success,1,1,1,1,2.352670907974243
splitA_train42_44_val45_47,medium20,2,221573,both_success,1,1,1,1,2.2675623893737793
splitA_train42_44_val45_47,medium20,3,305422,both_fail,0,0,1,1,2.315269708633423
splitA_train42_44_val45_47,medium20,4,472617,both_success,1,1,1,1,2.4725067615509033
splitA_train42_44_val45_47,medium20,5,1015438,both_fail,0,0,0,0,2.2047386169433594
splitA_train42_44_val45_47,medium20,6,1028374,both_success,1,1,1,1,2.8284595012664795
splitA_train42_44_val45_47,medium20,7,1054196,both_success,1,1,1,1,2.3174116611480713
splitA_train42_44_val45_47,medium20,8,1206131,both_success,1,1,1,1,1.6124457120895386
splitA_train42_44_val45_47,medium20,9,1237230,both_fail,0,0,0,0,2.4414634704589844
splitA_train42_44_val45_47,medium20,10,1529307,both_success,1,1,1,1,1.9390100240707397
splitA_train42_44_val45_47,medium20,11,1627822,both_success,1,1,1,1,1.814812421798706
splitA_train42_44_val45_47,medium20,12,1673974,both_fail,0,0,0,0,3.273604393005371
splitA_train42_44_val45_47,medium20,13,1715214,both_success,1,1,1,1,2.5837953090667725
splitA_train42_44_val45_47,medium20,14,1775729,both_fail,0,0,1,1,1.687373161315918
splitA_train42_44_val45_47,medium20,15,1805157,both_success,1,1,1,1,2.7251734733581543
splitA_train42_44_val45_47,medium20,16,1832780,both_fail,0,0,0,0,2.3889408111572266
splitA_train42_44_val45_47,medium20,17,1962525,both_success,1,1,1,1,3.9115607738494873
splitA_train42_44_val45_47,medium20,18,2005706,both_fail,0,0,0,0,3.868076801300049
splitA_train42_44_val45_47,medium20,19,2275375,both_fail,0,0,1,1,1.8761061429977417
splitA_train42_44_val45_47,confirm50_all50,0,150187,both_fail,0,0,0,0,2.1784281730651855
splitA_train42_44_val45_47,confirm50_all50,1,159883,both_fail,0,0,1,1,3.927776575088501
splitA_train42_44_val45_47,confirm50_all50,2,201656,both_success,1,1,1,1,2.1964311599731445
splitA_train42_44_val45_47,confirm50_all50,3,209210,both_success,1,1,1,1,1.7308716773986816
splitA_train42_44_val45_47,confirm50_all50,4,216281,both_success,1,1,1,1,1.6769353151321411
splitA_train42_44_val45_47,confirm50_all50,5,221571,both_fail,0,0,0,0,1.7697139978408813
splitA_train42_44_val45_47,confirm50_all50,6,305393,both_success,1,1,1,1,1.4398818016052246
splitA_train42_44_val45_47,confirm50_all50,7,388512,both_fail,0,0,1,1,2.617248058319092
splitA_train42_44_val45_47,confirm50_all50,8,429216,both_fail,0,0,0,0,1.7052582502365112
splitA_train42_44_val45_47,confirm50_all50,9,472611,both_success,1,1,1,1,1.5783976316452026
splitA_train42_44_val45_47,confirm50_all50,10,532318,both_fail,0,0,0,0,2.1123814582824707
splitA_train42_44_val45_47,confirm50_all50,11,645504,both_fail,0,0,1,1,1.7654181718826294
splitA_train42_44_val45_47,confirm50_all50,12,829098,both_success,1,1,1,1,2.5813491344451904
splitA_train42_44_val45_47,confirm50_all50,13,867812,both_fail,0,0,0,0,2.250501871109009
splitA_train42_44_val45_47,confirm50_all50,14,941648,both_fail,0,0,0,0,3.029383897781372
splitA_train42_44_val45_47,confirm50_all50,15,1015425,both_fail,0,0,0,0,7.999312400817871
splitA_train42_44_val45_47,confirm50_all50,16,1028336,raw_fail_residual_success,0,1,1,1,2.9342710971832275
splitA_train42_44_val45_47,confirm50_all50,17,1038327,both_fail,0,0,1,1,3.5107717514038086
splitA_train42_44_val45_47,confirm50_all50,18,1043460,both_success,1,1,1,1,2.215398073196411
splitA_train42_44_val45_47,confirm50_all50,19,1054182,both_success,1,1,1,1,2.293476104736328
splitA_train42_44_val45_47,confirm50_all50,20,1054375,both_fail,0,0,0,0,3.300821542739868
splitA_train42_44_val45_47,confirm50_all50,21,1175223,both_fail,0,0,0,0,2.7011055946350098
splitA_train42_44_val45_47,confirm50_all50,22,1206116,both_fail,0,0,0,0,2.5637717247009277
splitA_train42_44_val45_47,confirm50_all50,23,1237214,both_success,1,1,1,1,2.148505687713623
splitA_train42_44_val45_47,confirm50_all50,24,1279178,both_success,1,1,1,1,1.353599190711975
splitA_train42_44_val45_47,confirm50_all50,25,1299073,both_fail,0,0,1,1,2.8803794384002686
splitA_train42_44_val45_47,confirm50_all50,26,1475334,both_success,1,1,1,1,1.8583532571792603
splitA_train42_44_val45_47,confirm50_all50,27,1504936,both_success,1,1,1,1,1.838357925415039
splitA_train42_44_val45_47,confirm50_all50,28,1529287,both_success,1,1,1,1,1.8711836338043213
splitA_train42_44_val45_47,confirm50_all50,29,1582218,both_success,1,1,1,1,2.406959295272827
splitA_train42_44_val45_47,confirm50_all50,30,1627801,both_success,1,1,1,1,2.1708717346191406
splitA_train42_44_val45_47,confirm50_all50,31,1635424,both_fail,0,0,0,0,1.8276036977767944
splitA_train42_44_val45_47,confirm50_all50,32,1673952,both_fail,0,0,0,0,2.607585906982422
splitA_train42_44_val45_47,confirm50_all50,33,1715192,both_fail,0,0,0,0,1.5799983739852905
splitA_train42_44_val45_47,confirm50_all50,34,1768147,both_success,1,1,1,1,4.453787326812744
splitA_train42_44_val45_47,confirm50_all50,35,1775706,both_fail,0,0,0,0,1.9454340934753418
splitA_train42_44_val45_47,confirm50_all50,36,1805133,both_success,1,1,1,1,3.2092323303222656
splitA_train42_44_val45_47,confirm50_all50,37,1816073,both_success,1,1,1,1,1.6587319374084473
splitA_train42_44_val45_47,confirm50_all50,38,1823056,both_success,1,1,1,1,2.134129047393799
splitA_train42_44_val45_47,confirm50_all50,39,1832756,both_fail,0,0,0,0,5.098337173461914
splitA_train42_44_val45_47,confirm50_all50,40,1920150,both_success,1,1,1,1,2.2644214630126953
splitA_train42_44_val45_47,confirm50_all50,41,1933212,both_success,1,1,1,1,2.320971965789795
splitA_train42_44_val45_47,confirm50_all50,42,1962500,both_fail,0,0,1,1,1.8389314413070679
splitA_train42_44_val45_47,confirm50_all50,43,2005033,both_fail,0,0,0,0,3.0720913410186768
splitA_train42_44_val45_47,confirm50_all50,44,2005680,both_success,1,1,1,1,3.8697509765625
splitA_train42_44_val45_47,confirm50_all50,45,2069969,both_fail,0,0,0,0,2.0740978717803955
splitA_train42_44_val45_47,confirm50_all50,46,2083086,both_fail,0,0,0,0,2.0124194622039795
splitA_train42_44_val45_47,confirm50_all50,47,2164264,both_fail,0,0,0,0,3.254469156265259
splitA_train42_44_val45_47,confirm50_all50,48,2263297,both_fail,0,0,0,0,3.985741376876831
splitA_train42_44_val45_47,confirm50_all50,49,2275346,both_success,1,1,1,1,2.674062728881836
