index_set,subset,method,scale,top1_success,top3_success,top5_success,oracle,success_density,near_miss_count,fixed_vs_raw,harmed_vs_raw,net_vs_raw,both_success,both_fail
confirm50,all50,raw_moda,0.0,46.0,56.00000000000001,60.0,60.0,50.2,14,,,,,
confirm50,all50,residual_calibrated_cost,0.1,48.0,55.0,57.0,60.0,51.1,12,2,0,2,46,52
confirm50,all50,residual_calibrated_cost,0.2,48.0,56.00000000000001,58.0,60.0,50.2,12,2,0,2,46,52
confirm50,all50,residual_calibrated_cost,0.25,49.0,56.00000000000001,59.0,60.0,50.1,11,3,0,3,46,51
confirm50,all50,residual_calibrated_cost,0.3,49.0,56.00000000000001,59.0,60.0,50.1,11,3,0,3,46,51
confirm50,all50,residual_calibrated_cost,0.4,50.0,56.00000000000001,59.0,60.0,50.2,10,4,0,4,46,50
confirm50,all50,residual_calibrated_cost,0.5,50.0,56.00000000000001,59.0,60.0,50.3,10,4,0,4,46,50
confirm50,all50,residual_raw_cost,0.1,46.0,56.00000000000001,57.0,60.0,50.6,14,0,0,0,46,54
confirm50,all50,residual_raw_cost,0.2,46.0,56.00000000000001,58.0,60.0,49.8,14,0,0,0,46,54
confirm50,all50,residual_raw_cost,0.25,46.0,56.00000000000001,60.0,60.0,49.8,14,0,0,0,46,54
confirm50,all50,residual_raw_cost,0.3,46.0,56.00000000000001,60.0,60.0,50.1,14,0,0,0,46,54
confirm50,all50,residual_raw_cost,0.4,47.0,56.00000000000001,60.0,60.0,50.3,13,1,0,1,46,53
confirm50,all50,residual_raw_cost,0.5,47.0,56.00000000000001,60.0,60.0,50.1,13,1,0,1,46,53
