split,method,lambda,scale,top1_success,top3_success,top5_success,oracle,success_density,near_miss_count
splitA_train42_44_val45_47,raw_moda,0.0,0.0,60.0,65.0,70.0,75.0,56.99999999999999,3
splitA_train42_44_val45_47,residual_raw_cost,1.0,0.25,60.0,65.0,65.0,75.0,57.49999999999999,3
splitA_train42_44_val45_47,residual_calibrated_cost,1.0,0.25,65.0,70.0,75.0,75.0,57.99999999999999,2
splitA_train42_44_val45_47,residual_raw_cost,1.0,0.5,60.0,65.0,75.0,75.0,56.99999999999999,3
splitA_train42_44_val45_47,residual_calibrated_cost,1.0,0.5,60.0,70.0,75.0,75.0,59.0,3
splitA_train42_44_val45_47,residual_raw_cost,1.0,1.0,60.0,65.0,70.0,70.0,56.49999999999999,2
splitA_train42_44_val45_47,residual_calibrated_cost,1.0,1.0,60.0,65.0,70.0,75.0,56.49999999999999,3
splitA_train42_44_val45_47,residual_raw_cost,1.0,1.5,60.0,65.0,70.0,75.0,56.49999999999999,3
splitA_train42_44_val45_47,residual_calibrated_cost,1.0,1.5,60.0,70.0,70.0,75.0,56.99999999999999,3
splitB_train45_47_val42_44,raw_moda,0.0,0.0,60.0,65.0,70.0,75.0,56.49999999999999,3
splitB_train45_47_val42_44,residual_raw_cost,1.0,0.25,65.0,65.0,65.0,75.0,56.99999999999999,2
splitB_train45_47_val42_44,residual_calibrated_cost,1.0,0.25,65.0,65.0,70.0,70.0,56.99999999999999,1
splitB_train45_47_val42_44,residual_raw_cost,1.0,0.5,60.0,65.0,70.0,75.0,56.99999999999999,3
splitB_train45_47_val42_44,residual_calibrated_cost,1.0,0.5,60.0,70.0,70.0,75.0,57.49999999999999,3
splitB_train45_47_val42_44,residual_raw_cost,1.0,1.0,60.0,65.0,70.0,75.0,56.99999999999999,3
splitB_train45_47_val42_44,residual_calibrated_cost,1.0,1.0,60.0,70.0,70.0,75.0,56.99999999999999,3
splitB_train45_47_val42_44,residual_raw_cost,1.0,1.5,60.0,65.0,70.0,75.0,57.49999999999999,3
splitB_train45_47_val42_44,residual_calibrated_cost,1.0,1.5,60.0,70.0,70.0,75.0,56.99999999999999,3
