split,method,lambda,scale,top1_success,top3_success,top5_success,oracle,success_density,near_miss_count
splitA_train42_44_val45_47,raw_moda,0.0,0.0,75.0,100.0,100.0,100.0,65.0,1
splitA_train42_44_val45_47,residual_raw_cost,1.0,0.5,75.0,100.0,100.0,100.0,65.0,1
splitA_train42_44_val45_47,residual_calibrated_cost,1.0,0.5,75.0,100.0,100.0,100.0,65.0,1
splitA_train42_44_val45_47,residual_raw_cost,1.0,1.0,75.0,100.0,100.0,100.0,65.0,1
splitA_train42_44_val45_47,residual_calibrated_cost,1.0,1.0,75.0,100.0,100.0,100.0,65.0,1
splitB_train45_47_val42_44,raw_moda,0.0,0.0,75.0,100.0,100.0,100.0,65.0,1
splitB_train45_47_val42_44,residual_raw_cost,1.0,0.5,75.0,75.0,100.0,100.0,65.0,1
splitB_train45_47_val42_44,residual_calibrated_cost,1.0,0.5,75.0,75.0,100.0,100.0,65.0,1
splitB_train45_47_val42_44,residual_raw_cost,1.0,1.0,75.0,100.0,100.0,100.0,65.0,1
splitB_train45_47_val42_44,residual_calibrated_cost,1.0,1.0,75.0,100.0,100.0,100.0,65.0,1
