split,gate_rule,gate_model,gate_selected,gate_st_only,gate_bsl_fp,threshold,episodes,bsl_top1,calibrated_selector_top1,fixed,harmed,switches,stateroll_only_recovered,method,train_threshold_fixed,train_threshold_harmed,train_threshold_switches
splitA_train42_44_val45_47,top10+st_gap_bottom20+AND,extratrees,9,6,3,1.82669,300,82.0,82.66666666666667,2,0,3,2,bce,0,3,15
splitA_train42_44_val45_47,top10+st_gap_bottom20+AND,extratrees,9,6,3,2.558633,300,82.0,82.66666666666667,2,0,2,2,bce_pairwise,0,3,15
splitA_train42_44_val45_47,top10+st_gap_bottom20+AND,extratrees,9,6,3,1.545946,300,82.0,83.0,3,0,3,3,bce_listwise,0,4,15
splitA_train42_44_val45_47,top10+st_gap_bottom20+AND,extratrees,9,6,3,0.572052,300,82.0,82.66666666666667,2,0,4,2,bce_preserve,0,6,15
splitA_train42_44_val45_47,top10+st_gap_bottom20+AND,extratrees,9,6,3,1.291805,300,82.0,83.0,3,0,3,3,bce_pairwise_preserve,0,3,15
splitA_train42_44_val45_47,top10+st_gap_bottom20+AND,extratrees,9,6,3,0.564044,300,82.0,82.66666666666667,2,0,4,2,bce_listwise_preserve,0,5,15
splitA_train42_44_val45_47,top10+st_gap_bottom20+AND,extratrees,9,6,3,2.070474,300,82.0,82.66666666666667,2,0,3,2,bce_pairwise_listwise,0,3,15
splitA_train42_44_val45_47,top10+st_gap_bottom20+AND,extratrees,9,6,3,0.980111,300,82.0,83.0,3,0,3,3,full_bce_pairwise_listwise_preserve,0,3,15
splitA_train42_44_val45_47,top10+st_gap_bottom20+AND,extratrees,9,6,3,-0.0345,300,82.0,83.33333333333334,4,0,5,4,legacy_rank_combined,6,0,15
splitB_train45_47_val42_44,top10+abs_gap_top10+AND,randomforest,8,3,4,1.729881,300,80.0,80.0,0,0,0,0,bce,2,3,15
splitB_train45_47_val42_44,top10+abs_gap_top10+AND,randomforest,8,3,4,2.415471,300,80.0,80.0,0,0,0,0,bce_pairwise,2,1,15
splitB_train45_47_val42_44,top10+abs_gap_top10+AND,randomforest,8,3,4,1.452003,300,80.0,80.0,0,0,1,0,bce_listwise,3,1,15
splitB_train45_47_val42_44,top10+abs_gap_top10+AND,randomforest,8,3,4,0.467903,300,80.0,80.0,0,0,1,0,bce_preserve,3,1,15
splitB_train45_47_val42_44,top10+abs_gap_top10+AND,randomforest,8,3,4,1.164493,300,80.0,80.0,0,0,0,0,bce_pairwise_preserve,3,0,15
splitB_train45_47_val42_44,top10+abs_gap_top10+AND,randomforest,8,3,4,0.44887,300,80.0,80.0,0,0,1,0,bce_listwise_preserve,3,0,15
splitB_train45_47_val42_44,top10+abs_gap_top10+AND,randomforest,8,3,4,1.933373,300,80.0,80.0,0,0,0,0,bce_pairwise_listwise,2,1,15
splitB_train45_47_val42_44,top10+abs_gap_top10+AND,randomforest,8,3,4,0.862241,300,80.0,80.0,0,0,0,0,full_bce_pairwise_listwise_preserve,2,1,15
splitB_train45_47_val42_44,top10+abs_gap_top10+AND,randomforest,8,3,4,-0.055161,300,80.0,80.66666666666666,2,0,3,2,legacy_rank_combined,6,0,15
