split,method,threshold,fixed,harmed,switches,curve,stateroll_only_recovered
splitA_train42_44_val45_47,bce,1.82669,0,3,15,,
splitA_train42_44_val45_47,bce,1.70569,0,5,30,,
splitA_train42_44_val45_47,bce,1.569109,0,5,45,,
splitA_train42_44_val45_47,bce,1.456317,0,10,60,,
splitA_train42_44_val45_47,bce,1.30718,0,13,75,,
splitA_train42_44_val45_47,bce,1.216685,0,16,90,,
splitA_train42_44_val45_47,bce,1.155406,0,18,105,,
splitA_train42_44_val45_47,bce,1.054707,0,20,120,,
splitA_train42_44_val45_47,bce,0.839017,0,26,135,,
splitA_train42_44_val45_47,bce,0.633114,0,32,150,,
splitA_train42_44_val45_47,bce,0.490242,1,39,165,,
splitA_train42_44_val45_47,bce,0.371201,2,44,180,,
splitA_train42_44_val45_47,bce,0.145671,2,51,195,,
splitA_train42_44_val45_47,bce,-0.047035,6,57,210,,
splitA_train42_44_val45_47,bce,-0.236219,6,71,225,,
splitA_train42_44_val45_47,bce,-0.696522,10,79,240,,
splitA_train42_44_val45_47,bce,-1.246627,12,87,255,,
splitA_train42_44_val45_47,bce,-1.75452,17,92,270,,
splitA_train42_44_val45_47,bce,-6.047417,20,94,299,,
splitA_train42_44_val45_47,bce,-2.512033,19,94,285,,
splitA_train42_44_val45_47,bce_pairwise,2.558633,0,3,15,,
splitA_train42_44_val45_47,bce_pairwise,2.378643,0,5,30,,
splitA_train42_44_val45_47,bce_pairwise,2.27189,0,6,45,,
splitA_train42_44_val45_47,bce_pairwise,2.135972,0,11,60,,
splitA_train42_44_val45_47,bce_pairwise,1.973585,0,13,75,,
splitA_train42_44_val45_47,bce_pairwise,1.859579,0,15,90,,
splitA_train42_44_val45_47,bce_pairwise,1.769263,0,17,105,,
splitA_train42_44_val45_47,bce_pairwise,1.649399,0,21,120,,
splitA_train42_44_val45_47,bce_pairwise,1.425661,1,27,135,,
splitA_train42_44_val45_47,bce_pairwise,1.252421,1,35,150,,
splitA_train42_44_val45_47,bce_pairwise,1.048959,2,40,165,,
splitA_train42_44_val45_47,bce_pairwise,0.91322,2,47,180,,
splitA_train42_44_val45_47,bce_pairwise,0.726767,4,53,195,,
splitA_train42_44_val45_47,bce_pairwise,0.517137,7,62,210,,
splitA_train42_44_val45_47,bce_pairwise,0.252379,8,70,225,,
splitA_train42_44_val45_47,bce_pairwise,-0.280272,11,77,240,,
splitA_train42_44_val45_47,bce_pairwise,-0.758121,14,86,255,,
splitA_train42_44_val45_47,bce_pairwise,-1.300854,20,89,270,,
splitA_train42_44_val45_47,bce_pairwise,-6.051563,22,93,300,,
splitA_train42_44_val45_47,bce_pairwise,-2.139156,21,93,285,,
splitA_train42_44_val45_47,bce_listwise,1.545946,0,4,15,,
splitA_train42_44_val45_47,bce_listwise,1.443487,0,5,30,,
splitA_train42_44_val45_47,bce_listwise,1.282303,0,7,45,,
splitA_train42_44_val45_47,bce_listwise,1.194748,0,10,60,,
splitA_train42_44_val45_47,bce_listwise,1.069558,0,13,75,,
splitA_train42_44_val45_47,bce_listwise,0.985772,0,14,90,,
splitA_train42_44_val45_47,bce_listwise,0.903591,0,20,105,,
splitA_train42_44_val45_47,bce_listwise,0.823185,0,21,120,,
splitA_train42_44_val45_47,bce_listwise,0.623362,0,25,135,,
splitA_train42_44_val45_47,bce_listwise,0.479484,0,33,150,,
splitA_train42_44_val45_47,bce_listwise,0.365615,0,42,165,,
splitA_train42_44_val45_47,bce_listwise,0.208821,1,50,180,,
splitA_train42_44_val45_47,bce_listwise,0.028575,2,55,195,,
splitA_train42_44_val45_47,bce_listwise,-0.132444,3,65,210,,
splitA_train42_44_val45_47,bce_listwise,-0.350182,6,75,225,,
splitA_train42_44_val45_47,bce_listwise,-0.644564,8,85,240,,
splitA_train42_44_val45_47,bce_listwise,-1.378234,12,93,255,,
splitA_train42_44_val45_47,bce_listwise,-5.978128,20,99,299,,
splitA_train42_44_val45_47,bce_listwise,-1.840985,15,98,270,,
splitA_train42_44_val45_47,bce_listwise,-2.530729,18,99,285,,
splitA_train42_44_val45_47,bce_preserve,0.572052,0,6,15,,
splitA_train42_44_val45_47,bce_preserve,0.450788,0,9,30,,
splitA_train42_44_val45_47,bce_preserve,0.3389,0,14,45,,
splitA_train42_44_val45_47,bce_preserve,0.247645,0,18,60,,
splitA_train42_44_val45_47,bce_preserve,0.16128,0,21,75,,
splitA_train42_44_val45_47,bce_preserve,0.071428,0,23,90,,
splitA_train42_44_val45_47,bce_preserve,-0.049544,1,26,105,,
splitA_train42_44_val45_47,bce_preserve,-0.107994,1,32,120,,
splitA_train42_44_val45_47,bce_preserve,-0.179345,3,35,135,,
splitA_train42_44_val45_47,bce_preserve,-0.264418,3,43,150,,
splitA_train42_44_val45_47,bce_preserve,-0.363968,5,52,165,,
splitA_train42_44_val45_47,bce_preserve,-0.489049,5,62,180,,
splitA_train42_44_val45_47,bce_preserve,-0.570001,7,71,195,,
splitA_train42_44_val45_47,bce_preserve,-0.69657,10,78,210,,
splitA_train42_44_val45_47,bce_preserve,-0.898259,10,88,225,,
splitA_train42_44_val45_47,bce_preserve,-1.230421,11,99,240,,
splitA_train42_44_val45_47,bce_preserve,-1.790246,12,109,255,,
splitA_train42_44_val45_47,bce_preserve,-6.004001,21,116,300,,
splitA_train42_44_val45_47,bce_preserve,-2.255645,17,115,270,,
splitA_train42_44_val45_47,bce_preserve,-2.840557,19,116,285,,
splitA_train42_44_val45_47,bce_pairwise_preserve,1.291805,0,3,15,,
