split,threshold,candidate_topk,fixed,harmed,net,switches,stateroll_only_recovered,bsl_top1,selector_top1,gate_selected,gate_rule,method,harmed_budget,w_bce,w_rank,w_raw
splitA_train42_44_val45_47,-2.596773,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,rank_preserve,0,0,1,0
splitA_train42_44_val45_47,-2.596773,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,rank_preserve,1,0,1,0
splitA_train42_44_val45_47,-2.596773,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,rank_preserve,2,0,1,0
splitA_train42_44_val45_47,-2.596773,1,8,1,7,30,5,82.0,84.33333333333334,30,fp_le_3_max30,rank_preserve,3,0,1,0
splitB_train45_47_val42_44,-2.101803,1,7,1,6,29,4,80.0,82.0,30,fp_le_3_max30,rank_preserve,0,0,1,0
splitB_train45_47_val42_44,-2.101803,1,7,1,6,29,4,80.0,82.0,30,fp_le_3_max30,rank_preserve,1,0,1,0
splitB_train45_47_val42_44,-2.101803,1,7,1,6,29,4,80.0,82.0,30,fp_le_3_max30,rank_preserve,2,0,1,0
splitB_train45_47_val42_44,-2.101803,1,7,1,6,29,4,80.0,82.0,30,fp_le_3_max30,rank_preserve,3,0,1,0
,,,15,2,13,59,9,,,,,,0,,,
,,,15,2,13,59,9,,,,,,1,,,
,,,15,2,13,59,9,,,,,,2,,,
,,,15,2,13,59,9,,,,,,3,,,
,,1,15,2,13,59,9,,,,,ensemble_oof,0,0.0,0.0,0.5
,,1,15,2,13,59,9,,,,,ensemble_oof,1,0.0,0.0,0.5
,,1,15,2,13,59,9,,,,,ensemble_oof,2,0.0,0.0,0.5
,,1,15,2,13,59,9,,,,,ensemble_oof,3,0.0,0.0,0.5
