fixed,harmed,net,switches,stateroll_only_recovered,bsl_top1,selector_top1,gate_selected,gate_bsl_fp,held_seed,method,harmed_budget,threshold,candidate_topk
5,2,3,18,2,84.0,87.0,19,3,42,raw_only,0,-2.807264,1
5,2,3,18,2,84.0,87.0,19,3,42,raw_only,1,-2.807264,1
5,2,3,18,2,84.0,87.0,19,3,42,raw_only,2,-2.807264,1
5,2,3,19,2,84.0,87.0,19,3,42,rank_preserve,0,-2.711951,1
5,2,3,19,2,84.0,87.0,19,3,42,rank_preserve,1,-2.711951,1
5,2,3,19,2,84.0,87.0,19,3,42,rank_preserve,2,-2.711951,1
5,2,3,18,2,84.0,87.0,19,3,42,bce,0,-1.935475,1
5,2,3,18,2,84.0,87.0,19,3,42,bce,1,-1.935475,1
5,2,3,18,2,84.0,87.0,19,3,42,bce,2,-1.935475,1
4,3,1,18,1,84.0,85.0,19,3,42,raw_top3,0,-3.543998,3
4,3,1,18,1,84.0,85.0,19,3,42,raw_top3,1,-3.543998,3
4,3,1,18,1,84.0,85.0,19,3,42,raw_top3,2,-3.543998,3
8,2,6,29,5,74.0,80.0,29,3,43,raw_only,0,-4.126352,1
8,2,6,29,5,74.0,80.0,29,3,43,raw_only,1,-4.126352,1
8,2,6,29,5,74.0,80.0,29,3,43,raw_only,2,-4.126352,1
7,2,5,29,4,74.0,79.0,29,3,43,rank_preserve,0,-2.543943,1
7,2,5,29,4,74.0,79.0,29,3,43,rank_preserve,1,-2.543943,1
7,2,5,29,4,74.0,79.0,29,3,43,rank_preserve,2,-2.543943,1
7,2,5,29,4,74.0,79.0,29,3,43,bce,0,-2.000938,1
7,2,5,29,4,74.0,79.0,29,3,43,bce,1,-2.000938,1
7,2,5,29,4,74.0,79.0,29,3,43,bce,2,-2.000938,1
9,3,6,29,5,74.0,80.0,29,3,43,raw_top3,0,-4.188235,3
9,3,6,29,5,74.0,80.0,29,3,43,raw_top3,1,-4.188235,3
9,3,6,29,5,74.0,80.0,29,3,43,raw_top3,2,-4.188235,3
10,1,9,21,4,82.0,91.0,21,3,44,raw_only,0,-4.005164,1
10,1,9,21,4,82.0,91.0,21,3,44,raw_only,1,-4.005164,1
10,1,9,21,4,82.0,91.0,21,3,44,raw_only,2,-4.005164,1
11,1,10,21,4,82.0,92.0,21,3,44,rank_preserve,0,-2.515613,1
11,1,10,21,4,82.0,92.0,21,3,44,rank_preserve,1,-2.515613,1
11,1,10,21,4,82.0,92.0,21,3,44,rank_preserve,2,-2.515613,1
10,1,9,21,4,82.0,91.0,21,3,44,bce,0,-1.948022,1
10,1,9,21,4,82.0,91.0,21,3,44,bce,1,-1.948022,1
10,1,9,21,4,82.0,91.0,21,3,44,bce,2,-1.948022,1
9,1,8,21,4,82.0,90.0,21,3,44,raw_top3,0,-4.06534,3
9,1,8,21,4,82.0,90.0,21,3,44,raw_top3,1,-4.06534,3
9,1,8,21,4,82.0,90.0,21,3,44,raw_top3,2,-4.06534,3
7,3,4,25,4,78.0,82.0,25,3,45,raw_only,0,-4.131622,1
7,3,4,25,4,78.0,82.0,25,3,45,raw_only,1,-4.131622,1
7,3,4,25,4,78.0,82.0,25,3,45,raw_only,2,-4.131622,1
7,3,4,25,4,78.0,82.0,25,3,45,rank_preserve,0,-2.815903,1
7,3,4,25,4,78.0,82.0,25,3,45,rank_preserve,1,-2.815903,1
7,3,4,25,4,78.0,82.0,25,3,45,rank_preserve,2,-2.815903,1
6,3,3,25,4,78.0,81.0,25,3,45,bce,0,-1.953095,1
6,3,3,25,4,78.0,81.0,25,3,45,bce,1,-1.953095,1
6,3,3,25,4,78.0,81.0,25,3,45,bce,2,-1.953095,1
5,3,2,25,3,78.0,80.0,25,3,45,raw_top3,0,-4.193375,3
5,3,2,25,3,78.0,80.0,25,3,45,raw_top3,1,-4.193375,3
5,3,2,25,3,78.0,80.0,25,3,45,raw_top3,2,-4.193375,3
3,0,3,17,2,86.0,89.0,17,3,46,raw_only,0,-4.329274,1
3,0,3,17,2,86.0,89.0,17,3,46,raw_only,1,-4.329274,1
3,0,3,17,2,86.0,89.0,17,3,46,raw_only,2,-4.329274,1
3,0,3,17,2,86.0,89.0,17,3,46,rank_preserve,0,-2.633971,1
3,0,3,17,2,86.0,89.0,17,3,46,rank_preserve,1,-2.633971,1
3,0,3,17,2,86.0,89.0,17,3,46,rank_preserve,2,-2.633971,1
3,0,3,17,2,86.0,89.0,17,3,46,bce,0,-1.903633,1
3,0,3,17,2,86.0,89.0,17,3,46,bce,1,-1.903633,1
